code,long_description,short_description
0270T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0276T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0278T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0298T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0241T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0316T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0302T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0244T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0311T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0313T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0314T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0236T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0248T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0281T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0287T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0243T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0260T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0301T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0305T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0254T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0256T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0272T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0274T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0273T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0315T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0234T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0255T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0289T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0259T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0299T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0310T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0238T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0279T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0296T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0290T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0249T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0291T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0307T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0245T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0247T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0269T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0282T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0300T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0280T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0292T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0266T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0240T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0262T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0277T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0235T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0252T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0250T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0253T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0297T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0304T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0267T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0286T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0285T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0283T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0294T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0308T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0303T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0312T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0237T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0261T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0263T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0293T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0265T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0288T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0239T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0271T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0275T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0257T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0295T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0246T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0258T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0264T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0306T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0309T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0268T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0220T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0224T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0205T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0229T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0221T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0191T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0213T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0222T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0231T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0197T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0203T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0204T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0207T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0217T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0223T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0228T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0195T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0206T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0215T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0209T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0216T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0219T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0214T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0200T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0198T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0212T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0202T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0230T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0193T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0208T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0211T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0225T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0227T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
0201T,,Remote Real-Time Interactive Video-conferenced Critical Care Services and Other Undefined Category Codes
